Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,BCS,Dag,Status1,Weight,Lactation,Visit,Date,FEC,TFEC,month,plant,farm,tx2,month2,Time,Status,plantx,plantreal,season,plantx2,plantx3
MKWINDA,Drug,27049,2,F,1,1,2,1.5,0,Sick,35.4,NotLactating,4,05/08/2020,,,August,,D15,,8,42,2,0,0,Dry,0,0
MKWINDA,Drug,27097,1,F,0,0,2,2,0,Healthy,24.5,Lactating,14,03/02/2021,,,February,,D11,,1,168,1,1,0,Rainy,1,0
MKWINDA,Drug,27098,1,F,0,0,2,2,0,Healthy,27.2,NotLactating,17,03/03/2021,,,March,,D11,nonedr,3,210,1,0,0,Rainy,0,0
MKWINDA,Drug,27104,1,F,0,0,2,2,0,Healthy,28.6,Lactating,14,03/03/2021,850,,March,,D13,nonedr,3,182,1,0,0,Rainy,0,0
MKWINDA,Drug,27106,1,F,0,0,2,2.5,,Healthy,34.2,NotLactating,13,03/02/2021,,,February,,D13,,1,168,1,1,0,Rainy,1,0
MAZINGA,Plant,94713,3.5,F,0,0,2,2,0,Healthy,39.5,NotLactating,1,30/01/2020,900,900,January,Ficus ingens,P1,nonepl,1,1,1,0,0,Rainy,0,0
MAZINGA,Plant,94714,3,F,0,0,2,2.5,0,Healthy,38.1,Pregnant,2,13/02/2020,1750,1850,February,Ficus ingens,P1,nonepl,2,14,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,95225,3,F,0,0,2,2,0,Healthy,31.3,Lactating,24,26/02/2021,900,,February,,D8,nonedr,2,322,1,2,0,Rainy,2,0
KAMCHEZERA,Drug,95341,3,F,0,0,2,2.5,0,Healthy,39.5,Lactating,16,11/09/2020,,.,September,,D2,,8,210,1,1,0,Dry,1,0
KAMCHEZERA,Drug,95463,3,F,0,0,2,2,0,Healthy,40.8,NotLactating,29,26/02/2021,2750,,February,,D1,nonedr,2,392,1,4,0,Rainy,4+,0
KAMCHEZERA,Drug,95508,4,F,0,0,2,2,0,Healthy,36.7,Lactating,5,25/09/2020,,.,September,,D10,,9,56,1,0,0,Dry,0,0
MAZINGA,Plant,95601,4.5,F,1,0,2,1.5,0,Sick,35.4,Pregnant,3,25/02/2021,50,,February,Commiphora africana,P13,nonepl,2,28,2,0,0,Rainy,0,0
MAZINGA,Plant,95627,4,F,0,0,2,2,0,Healthy,39.5,Pregnant,25,14/01/2021,,,January,Ficus ingens,P3,,1,1,2,0,0,Rainy,0,0
MAZINGA,Plant,95646,4.5,F,0,0,2,1.5,0,Borderline,32.6,Lactating,17,25/02/2021,900,,February,Ficus ingens,P10,plantpl,2,224,1,1,1,Rainy,1,1
MAZINGA,Plant,95655,4.5,F,0,0,2,2,0,Healthy,28.6,NotLactating,6,23/04/2020,,.,April,Ficus ingens,P4,,4,70,1,4,4,Rainy,4+,4+
MKWINDA,Drug,95692,4,F,0,0,2,2,0,Healthy,32.6,Pregnant,29,03/03/2021,4150,,March,,D12,nonedr,3,393,1,4,0,Rainy,4+,0
MKWINDA,Drug,97890,4.5,F,1,0,3,1,0,Sick,35.4,Lactating,1,03/03/2021,200,,March,,D11,nonedr,3,1,2,0,0,Rainy,0,0
MKWINDA,Drug,97895,4,F,0,0,2,2,0,Healthy,32.6,Lactating,29,03/03/2021,,,March,,D11,nonedr,3,393,1,2,0,Rainy,2,0
KAMCHEZERA,Drug,97957,4,F,0,0,2,2,0,Healthy,25.9,Lactating,17,26/02/2021,,,February,,D10,nonedr,2,224,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,98021,4,F,0,0,2,1,0,Sick,25.9,NotLactating,9,26/02/2021,8700,,February,,D27,drugdr,2,112,2,3,0,Rainy,3,0
MKWINDA,Drug,98175,4,F,0,0,2,2,0,Healthy,27.2,Lactating,26,03/03/2021,2000,,March,,D18,nonedr,3,351,1,0,0,Rainy,0,0
MKWINDA,Drug,98263,4,F,0,0,2,1,4,Sick,32.6,Lactating,10,03/03/2021,4000,,March,,D15,nonedr,3,127,2,5,0,Rainy,4+,0
MKWINDA,Drug,98266,4,F,0,0,2,2.5,3,Healthy,35.4,Lactating,9,10/06/2020,,.,June,,D15,,5,113,1,0,0,Dry,0,0
KAMCHEZERA,Drug,98453,4.5,F,0,0,2,2,0,Healthy,44,NotLactating,2,09/10/2020,,.,October,,D26,,9,14,1,0,0,Dry,0,0
KAMCHEZERA,Drug,98465,4,F,0,0,3,1,0,Sick,29.9,Lactating,8,01/01/2021,,,January,,D26,,1,98,2,4,0,Rainy,4+,0
KAMCHEZERA,Drug,98481,3,F,0,0,2,1.5,4,Sick,35.4,NotLactating,4,10/04/2020,,.,April,,D7,,4,42,2,2,0,Rainy,2,0
MKWINDA,Drug,98580,4,F,0,0,2,2,0,Healthy,34.2,Lactating,29,03/03/2021,1050,,March,,D13,nonedr,3,393,1,4,0,Rainy,4+,0
KAMCHEZERA,Drug,98880,4,F,0,0,3,2,0,Borderline,32.6,NotLactating,8,05/06/2020,,.,June,,D7,,5,98,1,4,0,Dry,4+,0
MAZINGA,Plant,98896,3,F,1,0,2,2.5,0,Healthy,29.9,NotLactating,1,30/01/2020,1150,1150,January,Ficus ingens,P1,nonepl,1,1,1,0,0,Rainy,0,0
MAZINGA,Plant,98897,4.5,F,1,0,2,2,0,Healthy,29.9,Lactating,1,30/01/2020,3900,3900,January,Ficus ingens,P1,nonepl,1,1,1,0,0,Rainy,0,0
MKWINDA,Drug,99081,3,F,0,0,3,1,1,Sick,25.1,NotLactating,3,03/03/2021,0,,March,,D11,drugdr,3,28,2,2,0,Rainy,2,0
MKWINDA,Drug,99083,4,F,1,0,2,1,0,Sick,38.1,Pregnant,22,03/03/2021,9100,,March,,D14,nonedr,3,42,2,3,0,Rainy,3,0
MKWINDA,Drug,99084,4.5,F,0,0,3,1.5,0,Borderline,31.3,Lactating,7,13/05/2020,,.,May,,D14,,4,85,1,5,0,Dry,4+,0
MKWINDA,Drug,99316,3,F,0,0,2,2,0,Healthy,34.2,Lactating,23,23/12/2020,,,December,,D13,,12,309,1,3,0,Rainy,3,0
KAMCHEZERA,Drug,99340,4.5,F,0,0,2,2,0,Healthy,35.4,NotLactating,29,26/02/2021,1700,,February,,D2,nonedr,2,392,1,1,0,Rainy,1,0
KAMCHEZERA,Drug,99380,3,F,0,0,2,2,0,Healthy,31.3,NotLactating,14,26/02/2021,0,,February,,D25,nonedr,2,182,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,99455,2,F,0,0,2,2,0,Healthy,25.9,NotLactating,29,26/02/2021,950,,February,,D2,nonedr,2,392,1,1,0,Rainy,1,0
MKWINDA,Drug,99514,4,F,0,0,2,2,0,Healthy,32.6,Lactating,29,03/03/2021,,,March,,D14,nonedr,3,393,1,2,0,Rainy,2,0
MKWINDA,Drug,99515,2.5,F,0,0,3,2,0,Healthy,29.9,Lactating,29,03/03/2021,,,March,,D14,nonedr,3,393,1,0,0,Rainy,0,0
MKWINDA,Drug,140m,2,F,0,0,2,2,0,Healthy,25.9,Lactating,27,03/03/2021,3300,,March,,D17,nonedr,3,365,1,2,0,Rainy,2,0
MKWINDA,Drug,141m,4,F,1,0,4,1,4,Sick,29.9,NotLactating,2,03/03/2021,2350,,March,,D17,nonedr,3,14,2,1,0,Rainy,1,0
MAZINGA,Plant,14new,2,F,0,0,1,2,0,Healthy,27.2,Lactating,7,25/02/2021,700,,February,Ficus ingens,P3,nonepl,2,84,1,0,0,Rainy,0,0
MKWINDA,Drug,17TD6,4,F,1,0,3,2,0,Sick,34.2,Lactating,18,11/11/2020,,,November,,D12,,11,239,2,1,0,Rainy,1,0
MKWINDA,Drug,24TD1,3,F,1,0,2,2.5,0,Sick,32.6,Pregnant,25,03/03/2021,400,,March,,D11,drugdr,3,337,2,5,0,Rainy,4+,0
MAZINGA,Plant,black 94,4,F,0,0,2,2,0,Healthy,29.9,NotLactating,1,30/01/2020,800,800,January,Ficus ingens,P1,nonepl,1,1,1,0,0,Rainy,0,0
