Location,TST,Tag,Status,Visit
KAMCHEZERA,Drug,26632,Healthy,12
KAMCHEZERA,Drug,26633,Sick,12
KAMCHEZERA,Drug,26634,End,12
KAMCHEZERA,Drug,26640,Sold,12
KAMCHEZERA,Drug,26643,Sick,12
KAMCHEZERA,Drug,26655,Sold,12
MKWINDA,Drug,26909,Healthy,12
MKWINDA,Drug,26910,Healthy,12
MKWINDA,Drug,27049,Died,12
MKWINDA,Drug,27097,Healthy,12
MKWINDA,Drug,27098,Healthy,12
MKWINDA,Drug,27104,Healthy,12
MKWINDA,Drug,27106,Healthy,12
MAZINGA,Plant,94713,End,12
MAZINGA,Plant,94714,End,12
KAMCHEZERA,Drug,95225,Healthy,12
KAMCHEZERA,Drug,95341,Healthy,12
KAMCHEZERA,Drug,95463,Healthy,12
KAMCHEZERA,Drug,95508,Sold,12
MAZINGA,Plant,95601,End,12
MAZINGA,Plant,95627,Healthy,12
MAZINGA,Plant,95646,Healthy,12
MAZINGA,Plant,95655,Sold,12
MKWINDA,Drug,95692,Healthy,12
MKWINDA,Drug,97890,Healthy,12
MKWINDA,Drug,97895,Healthy,12
KAMCHEZERA,Drug,97957,Healthy,12
KAMCHEZERA,Drug,98021,End,12
MKWINDA,Drug,98175,Healthy,12
MKWINDA,Drug,98263,Borderline,12
MKWINDA,Drug,98266,Died,12
KAMCHEZERA,Drug,98453,Stolen,12
KAMCHEZERA,Drug,98465,End,12
KAMCHEZERA,Drug,98481,Died,12
MKWINDA,Drug,98580,Grazing,12
KAMCHEZERA,Drug,98880,Died,12
MAZINGA,Plant,98896,End,12
MAZINGA,Plant,98897,End,12
MKWINDA,Drug,99081,Healthy,12
MKWINDA,Drug,99083,Healthy,12
MKWINDA,Drug,99084,Sold,12
MKWINDA,Drug,99316,Grazing,12
KAMCHEZERA,Drug,99340,Healthy,12
KAMCHEZERA,Drug,99380,Healthy,12
KAMCHEZERA,Drug,99455,Healthy,12
MKWINDA,Drug,99514,Healthy,12
MKWINDA,Drug,99515,Healthy,12
MKWINDA,Drug,1400,Healthy,12
MKWINDA,Drug,1410,Healthy,12
MAZINGA,Plant,14000,End,12
MKWINDA,Drug,176,Healthy,12
MKWINDA,Drug,241,Healthy,12
MAZINGA,Plant,940,End,12
MAZINGA,Plant,1,End,13
MAZINGA,Plant,2,End,13
MAZINGA,Plant,3,End,13
